,Genre,Platform,Global_Sales
0,Action,3DS,4.4
1,Action,PC,0.19
2,Action,PS3,0.97
3,Action,PS4,8.16
4,Action,PSV,1.76
5,Action,WiiU,1.55
6,Action,X360,0.48000000000000004
7,Action,XOne,2.4
8,Adventure,3DS,0.41000000000000003
9,Adventure,PC,0.18
10,Adventure,PS3,0.13
11,Adventure,PS4,0.62
12,Adventure,PSV,0.33
13,Adventure,WiiU,0.01
14,Adventure,XOne,0.11
15,Fighting,3DS,0.01
16,Fighting,PC,0.05
17,Fighting,PS3,0.07
18,Fighting,PS4,2.34
19,Fighting,PSV,0.14
20,Fighting,WiiU,0.93
21,Fighting,XOne,0.32
22,Misc,3DS,0.16999999999999998
23,Misc,PS3,0.13999999999999999
24,Misc,PS4,0.22
25,Misc,PSV,0.21
26,Misc,WiiU,0.43
27,Platform,3DS,0.23
28,Platform,PC,0.05
29,Platform,PS4,1.6099999999999999
30,Platform,WiiU,0.02
31,Platform,XOne,0.16
32,Racing,PC,0.1
33,Racing,PS4,0.85
34,Racing,XOne,0.6900000000000001
35,Role-Playing,3DS,1.12
36,Role-Playing,PC,0.37
37,Role-Playing,PS3,0.43
38,Role-Playing,PS4,3.61
39,Role-Playing,PSV,0.75
40,Role-Playing,XOne,0.52
41,Shooter,PC,1.1199999999999999
42,Shooter,PS3,0.02
43,Shooter,PS4,12.31
44,Shooter,WiiU,0.35
45,Shooter,X360,0.02
46,Shooter,XOne,4.3999999999999995
47,Simulation,3DS,0.21
48,Simulation,DS,0.29
49,Simulation,PC,0.05
50,Simulation,PS4,0.12
51,Simulation,XOne,0.01
52,Sports,PC,0.1
53,Sports,PS3,0.83
54,Sports,PS4,9.4
55,Sports,PSV,0.2
56,Sports,X360,0.33
57,Sports,XOne,3.74
58,Strategy,3DS,0.05
59,Strategy,PC,0.39
60,Strategy,PS4,0.04
61,Strategy,XOne,0.02
